Time,City,District,Longitude,Latitude,Geohash
109年04月04日 05時43分10秒,南投縣,埔里鎮,120.964504,23.968554,wsq02e7dvnr9
109年04月26日 20時10分33秒,南投縣,埔里鎮,120.995301,23.972249,wsq03k406z5e
109年05月13日 10時54分00秒,南投縣,埔里鎮,120.956509,24.000240,wsq083jgdcn0
109年06月20日 08時00分01秒,南投縣,埔里鎮,120.977840,23.971980,wsq02gvqguzw
109年06月23日 15時37分11秒,南投縣,埔里鎮,120.972364,23.960064,wsq02cc3krsm
109年08月03日 23時32分37秒,南投縣,埔里鎮,120.934603,23.944587,wsmbpyvzk6xc
109年08月07日 16時05分04秒,南投縣,埔里鎮,120.928948,24.021128,wsmbxucv0wz1
109年08月27日 04時30分17秒,南投縣,埔里鎮,120.957920,23.971259,wsq027yfeyd3
109年09月06日 06時47分07秒,南投縣,埔里鎮,120.999012,23.926061,wsq017sg3m49
109年04月02日 15時35分51秒,南投縣,水里鄉,120.885229,23.809375,wsjzqy3gtvpy
109年05月09日 14時17分00秒,南投縣,水里鄉,120.873182,23.881072,wsjzye3jm63p
109年02月07日 13時11分55秒,南投縣,竹山鎮,120.655432,23.616165,wsjy3e4w5k4z
109年04月16日 10時55分38秒,南投縣,竹山鎮,120.707817,23.774139,wsjz4zbwruxz
109年04月23日 05時54分17秒,南投縣,竹山鎮,120.689857,23.760674,wsjz4m7xvqxv
109年06月05日 12時10分56秒,南投縣,竹山鎮,120.763051,23.816841,wsjzkp8zphcq
109年06月17日 06時57分05秒,南投縣,竹山鎮,120.703972,23.764982,wsjz4wmcn3sz
109年01月17日 17時00分08秒,南投縣,草屯鎮,120.688073,23.991751,wsmb6rd65ft9
109年01月26日 20時29分15秒,南投縣,草屯鎮,120.680989,23.980695,wsmb6jt1wve9
109年02月28日 11時44分43秒,南投縣,草屯鎮,120.692529,23.979719,wsmb6mmegz87
109年03月03日 10時35分02秒,南投縣,草屯鎮,120.727337,23.980810,wsmb7jwfqfgp
109年03月08日 19時03分51秒,南投縣,草屯鎮,120.678253,23.987026,wsmb6nenx1er
109年06月03日 10時31分10秒,南投縣,草屯鎮,120.663789,23.949555,wsmb1zbsq0dk
109年06月10日 19時30分00秒,南投縣,草屯鎮,120.659197,23.992778,wsmb3xv251fp
109年06月13日 12時08分27秒,南投縣,草屯鎮,120.680319,23.978096,wsmb6jhdx1pf
109年08月08日 00時43分54秒,南投縣,草屯鎮,120.671028,23.977034,wsmb3uvuqg05
109年09月21日 11時47分37秒,南投縣,草屯鎮,120.690027,23.999618,wsmbd2gzcmnc
109年10月13日 20時00分19秒,南投縣,草屯鎮,120.668141,24.026339,wsmb9vgge6pq
109年11月24日 14時55分46秒,南投縣,草屯鎮,120.678925,23.971612,wsmb65gsyb2e
109年12月09日 14時10分33秒,南投縣,集集鎮,120.826576,23.824092,wsjzt3p1rk9h
109年03月09日 00時19分00秒,南投縣,魚池鄉,120.919220,23.875320,wsjzzd6ey41r
109年03月11日 15時21分00秒,南投縣,魚池鄉,120.926177,23.913017,wsmbp9pz2jky
109年06月06日 13時41分00秒,南投縣,魚池鄉,120.935034,23.898908,wsjzzywjnx35
